name,tier,Predicted Tier
Resident Evil Outbreak: File 2,Mediocre,Essential
MASSIVE CHALICE,Good,Good
Fahrenheit (Indigo Prophecy),Essential,Mediocre
Dragon Age: Origins - Ultimate Edition,Essential,Mediocre
Stories: The Path of Destinies,Good,Great
Q.U.B.E. 2,Good,Good
Eagle Flight,Good,Mediocre
The Elder Scrolls V: Skyrim,Essential,Essential
Forza Motorsport 7,Essential,Great
Sacred Citadel,Mediocre,Mediocre
Subject 13,Mediocre,Mediocre
Road Not Taken,Good,Great
Divinity: Original Sin - Enhanced Edition,Essential,Great
Red Dead Revolver,Good,Essential
LUFTRAUSERS,Great,Great
WRC Powerslide,Mediocre,Essential
NieR:Automata Game of the YoRHa Edition,Essential,Mediocre
KILL la KILL - IF,Mediocre,Essential
Intrusion 2,Great,Great
Fate of the World,Good,Good
Project CARS 2,Essential,Essential
The Moment of Silence,Good,Mediocre
Perimeter 2: New Earth,Mediocre,Mediocre
Devil May Cry 4,Great,Essential
Antihero,Great,Mediocre
The Silver Case,Mediocre,Essential
The Awesome Adventures of Captain Spirit,Great,Good
Bloodborne,Essential,Essential
nail'd,Mediocre,Mediocre
Penumbra: Requiem,Mediocre,Mediocre
Dark Souls II: Scholar of the First Sin,Great,Essential
Fallen Enchantress: Legendary Heroes,Great,Good
Ticket to Ride,Essential,Good
Reign: Conflict of Nations,Mediocre,Mediocre
Beat Cop,Good,Great
Dante's Inferno,Good,Essential
Alone With You,Good,Great
Tom Clancy's Ghost Recon: Advanced Warfighter,Essential,Great
The Red Solstice,Good,Mediocre
Spyro Reignited Trilogy,Great,Good
"Pokémon Diamond, Pearl",Essential,Essential
Outward,Mediocre,Mediocre
Candle: The Power of the Flame,Great,Good
A Way Out,Great,Essential
Final Fantasy X-2,Essential,Essential
Final Fantasy VII Remake,Essential,Essential
Sayonara Wild Hearts,Essential,Great
Ace Combat 5: The Unsung War,Essential,Essential
MacGuffin's Curse,Good,Mediocre
Destiny 2: Warmind,Mediocre,Essential
EA SPORTS FIFA 17,Essential,Great
Ship Simulator Extremes,Mediocre,Mediocre
Only If,Mediocre,Mediocre
The Sims,Essential,Good
Resonance,Good,Good
Dangerous High School Girls in Trouble!,Great,Mediocre
Seven: The Days Long Gone,Mediocre,Mediocre
"Pokémon Alpha Sapphire, Omega Ruby",Essential,Essential
Iron Warriors: T - 72 Tank Command,Mediocre,Great
Metal Gear Solid,Essential,Mediocre
HOARD,Mediocre,Mediocre
Apotheon,Great,Great
S.T.A.L.K.E.R.: Call of Pripyat,Great,Good
LEGO Batman 2 DC Super Heroes,Good,Good
GNOG,Good,Great
BioShock Infinite: Burial at Sea - Episode One,Good,Mediocre
Burnout 3: Takedown,Essential,Essential
Killzone,Good,Essential
Skyshine's BEDLAM,Mediocre,Good
WORLD OF WARSHIPS: LEGENDS,Great,Essential
Call of Juarez: The Cartel,Mediocre,Mediocre
Strong Bad's Cool Game for Attractive People,Great,Good
Divinity: Dragon Commander,Good,Essential
The Lost Crown: A Ghosthunting Adventure,Good,Good
Final Fantasy XV: Episode Prompto,Mediocre,Mediocre
Starlink: Battle for Atlas,Good,Good
Rayman Raving Rabbids,Mediocre,Mediocre
Fire Emblem: Path of Radiance,Essential,Essential
XCOM: Chimera Squad,Great,Mediocre
The Witness,Essential,Good
Perimeter: Emperor's Testament,Good,Mediocre
Damnation,Mediocre,Mediocre
