name,metacritic,Predicted Metacritic Score,absolute_error,relative_error
Resident Evil Outbreak: File 2,58.0,76.10546614975792,18.105466149757916,-18.105466149757916
MASSIVE CHALICE,73.0,65.0312493085514,7.968750691448605,7.968750691448605
Fahrenheit (Indigo Prophecy),85.0,69.6524147827288,15.347585217271202,15.347585217271202
Dragon Age: Origins - Ultimate Edition,88.0,75.22658964795517,12.773410352044834,12.773410352044834
Stories: The Path of Destinies,74.0,73.27655419342392,0.7234458065760805,0.7234458065760805
Q.U.B.E. 2,75.0,68.95761524581005,6.042384754189953,6.042384754189953
Eagle Flight,74.0,68.28400424834678,5.7159957516532245,5.7159957516532245
The Elder Scrolls V: Skyrim,94.0,81.64307030557416,12.356929694425844,12.356929694425844
Forza Motorsport 7,84.0,74.29226637901661,9.70773362098339,9.70773362098339
Sacred Citadel,61.0,72.84597231832485,11.845972318324854,-11.845972318324854
Subject 13,59.0,71.12981255860907,12.129812558609075,-12.129812558609075
Road Not Taken,75.0,76.97265670453454,1.9726567045345433,-1.9726567045345433
Divinity: Original Sin - Enhanced Edition,94.0,75.66721031779693,18.33278968220307,18.33278968220307
Red Dead Revolver,73.0,76.87500626383235,3.875006263832347,-3.875006263832347
LUFTRAUSERS,80.0,74.2037185788092,5.796281421190798,5.796281421190798
WRC Powerslide,60.0,74.87548367884943,14.875483678849434,-14.875483678849434
NieR:Automata Game of the YoRHa Edition,91.0,73.10898207628776,17.89101792371224,17.89101792371224
KILL la KILL - IF,66.0,79.62964908171384,13.629649081713836,-13.629649081713836
Intrusion 2,80.0,75.18693655350901,4.813063446490986,4.813063446490986
Fate of the World,70.0,73.81209934886381,3.8120993488638106,-3.8120993488638106
Project CARS 2,86.0,77.31822381460691,8.68177618539309,8.68177618539309
The Moment of Silence,70.0,68.9789253717162,1.0210746282837988,1.0210746282837988
Perimeter 2: New Earth,43.0,73.48746611861432,30.48746611861432,-30.48746611861432
Devil May Cry 4,78.0,76.2410183530807,1.7589816469192954,1.7589816469192954
Antihero,81.0,73.85526598381466,7.144734016185339,7.144734016185339
The Silver Case,67.0,78.24680812015865,11.246808120158647,-11.246808120158647
The Awesome Adventures of Captain Spirit,77.0,72.80663051766243,4.193369482337573,4.193369482337573
Bloodborne,92.0,83.39240189600065,8.60759810399935,8.60759810399935
