name,metacritic,Predicted Metacritic Score,absolute_error,relative_error
Resident Evil Outbreak: File 2,58.0,77.58668011026374,19.586680110263742,-19.586680110263742
MASSIVE CHALICE,73.0,69.79109520463194,3.2089047953680563,3.2089047953680563
Fahrenheit (Indigo Prophecy),85.0,66.01882372937523,18.981176270624772,18.981176270624772
Dragon Age: Origins - Ultimate Edition,88.0,75.0566420662241,12.9433579337759,12.9433579337759
Stories: The Path of Destinies,74.0,74.61017948902662,0.6101794890266206,-0.6101794890266206
Q.U.B.E. 2,75.0,69.84088712104885,5.159112878951149,5.159112878951149
Eagle Flight,74.0,68.84625701504379,5.15374298495621,5.15374298495621
The Elder Scrolls V: Skyrim,94.0,80.36108215395716,13.638917846042844,13.638917846042844
Forza Motorsport 7,84.0,75.7300845190671,8.269915480932895,8.269915480932895
Sacred Citadel,61.0,72.86199321606324,11.86199321606324,-11.86199321606324
Subject 13,59.0,70.41078933785515,11.41078933785515,-11.41078933785515
Road Not Taken,75.0,74.66613329068593,0.3338667093140657,0.3338667093140657
Divinity: Original Sin - Enhanced Edition,94.0,79.62522008383772,14.374779916162282,14.374779916162282
Red Dead Revolver,73.0,67.16308704857234,5.836912951427664,5.836912951427664
LUFTRAUSERS,80.0,75.44738302710361,4.552616972896388,4.552616972896388
WRC Powerslide,60.0,74.84392972876795,14.843929728767947,-14.843929728767947
NieR:Automata Game of the YoRHa Edition,91.0,73.34627494478349,17.653725055216512,17.653725055216512
KILL la KILL - IF,66.0,80.00415893420308,14.004158934203076,-14.004158934203076
Intrusion 2,80.0,76.89962690573098,3.100373094269017,3.100373094269017
Fate of the World,70.0,74.89158762311818,4.891587623118184,-4.891587623118184
Project CARS 2,86.0,80.84829246110786,5.15170753889214,5.15170753889214
The Moment of Silence,70.0,70.74376462619766,0.7437646261976596,-0.7437646261976596
Perimeter 2: New Earth,43.0,72.45871060990949,29.458710609909488,-29.458710609909488
Devil May Cry 4,78.0,73.92906084846528,4.070939151534716,4.070939151534716
Antihero,81.0,73.48555243612593,7.5144475638740715,7.5144475638740715
The Silver Case,67.0,78.58605155628685,11.586051556286847,-11.586051556286847
The Awesome Adventures of Captain Spirit,77.0,77.37809138165757,0.37809138165756906,-0.37809138165756906
Bloodborne,92.0,77.61580824398901,14.384191756010992,14.384191756010992
nail'd,69.0,72.8147799692997,3.814779969299707,-3.814779969299707
Penumbra: Requiem,67.0,71.9833240640079,4.983324064007903,-4.983324064007903
Dark Souls II: Scholar of the First Sin,79.0,76.11376198277131,2.886238017228692,2.886238017228692
Fallen Enchantress: Legendary Heroes,80.0,76.05246778058542,3.947532219414583,3.947532219414583
Ticket to Ride,91.0,73.9296962375859,17.0703037624141,17.0703037624141
Reign: Conflict of Nations,60.0,68.35293965674849,8.35293965674849,-8.35293965674849
Beat Cop,71.0,74.4626943917366,3.462694391736605,-3.462694391736605
Dante's Inferno,75.0,72.17451085317319,2.8254891468268113,2.8254891468268113
Alone With You,75.0,71.0126718279141,3.9873281720858955,3.9873281720858955
Tom Clancy's Ghost Recon: Advanced Warfighter,85.0,77.55774183772283,7.44225816227717,7.44225816227717
The Red Solstice,74.0,68.37843064941593,5.621569350584068,5.621569350584068
Spyro Reignited Trilogy,80.0,74.19592554096232,5.804074459037679,5.804074459037679
"Pokémon Diamond, Pearl",85.0,84.52882080655837,0.4711791934416283,0.4711791934416283
Outward,65.0,69.61737169443903,4.617371694439029,-4.617371694439029
Candle: The Power of the Flame,80.0,74.49551343427814,5.504486565721862,5.504486565721862
A Way Out,78.0,73.64495452749864,4.355045472501359,4.355045472501359
Final Fantasy X-2,85.0,80.09038282459541,4.909617175404591,4.909617175404591
Final Fantasy VII Remake,87.0,83.36241159279318,3.6375884072068203,3.6375884072068203
Sayonara Wild Hearts,85.0,77.50929340104338,7.490706598956621,7.490706598956621
Ace Combat 5: The Unsung War,84.0,74.02539821671795,9.974601783282054,9.974601783282054
MacGuffin's Curse,73.0,71.96170329507096,1.0382967049290386,1.0382967049290386
Destiny 2: Warmind,64.0,74.93071697141008,10.930716971410078,-10.930716971410078
EA SPORTS FIFA 17,85.0,76.04784557027939,8.952154429720608,8.952154429720608
Ship Simulator Extremes,49.0,74.11365236586602,25.113652365866017,-25.113652365866017
Only If,39.0,70.7809123099123,31.780912309912296,-31.780912309912296
The Sims,88.0,76.01582268874913,11.984177311250875,11.984177311250875
Resonance,76.0,72.9246858872122,3.075314112787794,3.075314112787794
Dangerous High School Girls in Trouble!,81.0,73.75000208614912,7.249997913850876,7.249997913850876
Seven: The Days Long Gone,68.0,67.2259840739326,0.7740159260674062,0.7740159260674062
"Pokémon Alpha Sapphire, Omega Ruby",83.0,80.55368330866456,2.44631669133544,2.44631669133544
Iron Warriors: T - 72 Tank Command,56.0,75.18523289726271,19.185232897262708,-19.185232897262708
Metal Gear Solid,88.0,69.69303902159483,18.306960978405172,18.306960978405172
HOARD,65.0,71.75911100255954,6.759111002559536,-6.759111002559536
Apotheon,78.0,76.48083269100178,1.5191673089982203,1.5191673089982203
S.T.A.L.K.E.R.: Call of Pripyat,80.0,78.2413198778346,1.7586801221654014,1.7586801221654014
LEGO Batman 2 DC Super Heroes,75.0,74.4336811326788,0.5663188673212005,0.5663188673212005
GNOG,76.0,73.12828437369302,2.8717156263069796,2.8717156263069796
BioShock Infinite: Burial at Sea - Episode One,71.0,70.5124997670388,0.48750023296119593,0.48750023296119593
Burnout 3: Takedown,94.0,79.32990581898322,14.670094181016779,14.670094181016779
Killzone,70.0,80.70572365183737,10.705723651837374,-10.705723651837374
Skyshine's BEDLAM,67.0,70.52865736551028,3.528657365510284,-3.528657365510284
WORLD OF WARSHIPS: LEGENDS,82.0,72.37140157322897,9.628598426771035,9.628598426771035
Call of Juarez: The Cartel,51.0,65.43845001485444,14.438450014854439,-14.438450014854439
Strong Bad's Cool Game for Attractive People,82.0,73.74573507254699,8.254264927453008,8.254264927453008
Divinity: Dragon Commander,76.0,79.4468724086371,3.4468724086371054,-3.4468724086371054
The Lost Crown: A Ghosthunting Adventure,71.0,73.1523276021364,2.1523276021363955,-2.1523276021363955
Final Fantasy XV: Episode Prompto,65.0,70.32920218027924,5.329202180279239,-5.329202180279239
Starlink: Battle for Atlas,74.0,68.8669495226995,5.1330504773005,5.1330504773005
Rayman Raving Rabbids,58.0,71.44860170844805,13.448601708448052,-13.448601708448052
Fire Emblem: Path of Radiance,85.0,82.85840468570814,2.1415953142918625,2.1415953142918625
XCOM: Chimera Squad,77.0,72.20153525967498,4.7984647403250165,4.7984647403250165
The Witness,87.0,73.15878493483636,13.841215065163638,13.841215065163638
Perimeter: Emperor's Testament,72.0,72.45871060990949,0.4587106099094882,-0.4587106099094882
Damnation,41.0,67.70857245205774,26.708572452057737,-26.708572452057737
Cold War,64.0,64.72912691573991,0.7291269157399114,-0.7291269157399114
Half-Life 2: Update,96.0,75.5931370402473,20.4068629597527,20.4068629597527
Spacebase DF-9,49.0,73.03873551040466,24.038735510404663,-24.038735510404663
Velvet Assassin,61.0,65.71648010615117,4.716480106151167,-4.716480106151167
Battleborn,69.0,73.41168851616222,4.411688516162215,-4.411688516162215
Streets of Rage 4,83.0,71.92575113633356,11.07424886366644,11.07424886366644
Four Last Things,83.0,71.01226859251855,11.987731407481448,11.987731407481448
AquaNox 2: Revelation,59.0,70.11378285057734,11.113782850577337,-11.113782850577337
Croixleur Sigma,56.0,76.09625047140685,20.096250471406847,-20.096250471406847
Owlboy,88.0,79.1097678296076,8.890232170392395,8.890232170392395
The Movies,84.0,81.55589212073617,2.444107879263825,2.444107879263825
Cossacks: Art of War,74.0,71.02588601495684,2.974113985043161,2.974113985043161
LEGO Star Wars - The Complete Saga,77.0,78.62014361863625,1.6201436186362486,-1.6201436186362486
Trials Rising,81.0,75.79772411639787,5.202275883602127,5.202275883602127
Wargame: Airland Battle,80.0,77.39867097277507,2.601329027224935,2.601329027224935
FIFA 14,86.0,81.14715658361247,4.852843416387529,4.852843416387529
Phoning Home,61.0,71.74779839115133,10.747798391151335,-10.747798391151335
The Walking Dead: The Final Season,78.0,74.17118663199545,3.828813368004546,3.828813368004546
King Arthur: Fallen Champions,54.0,68.32454204451379,14.324542044513791,-14.324542044513791
Cossacks: Back to War,60.0,76.5146966080445,16.514696608044503,-16.514696608044503
Final Fantasy IX,84.0,79.93752009510101,4.062479904898993,4.062479904898993
RONIN,70.0,75.31732204560147,5.317322045601472,-5.317322045601472
Broforce,83.0,74.62794646263613,8.372053537363868,8.372053537363868
Crazy Taxi 2,82.0,79.17558517153394,2.824414828466061,2.824414828466061
Fallout 3: Point Lookout,79.0,76.39496706862111,2.6050329313788865,2.6050329313788865
Toukiden 2,73.0,68.23991899766898,4.76008100233102,4.76008100233102
Eternal Sonata,80.0,73.08482863027125,6.915171369728753,6.915171369728753
