,name,metacritic,Predicted Metacritic Score,absolute_error,relative_error
0,Resident Evil Outbreak: File 2,58.0,74.0,16.0,-16.0
1,MASSIVE CHALICE,73.0,73.0,0.0,0.0
2,Fahrenheit (Indigo Prophecy),85.0,72.0,13.0,13.0
3,Dragon Age: Origins - Ultimate Edition,88.0,61.0,27.0,27.0
4,Stories: The Path of Destinies,74.0,73.0,1.0,1.0
5,Q.U.B.E. 2,75.0,72.0,3.0,3.0
6,Eagle Flight,74.0,66.0,8.0,8.0
7,The Elder Scrolls V: Skyrim,94.0,77.0,17.0,17.0
8,Forza Motorsport 7,84.0,81.0,3.0,3.0
9,Sacred Citadel,61.0,83.0,22.0,-22.0
10,Subject 13,59.0,77.0,18.0,-18.0
11,Road Not Taken,75.0,79.0,4.0,-4.0
12,Divinity: Original Sin - Enhanced Edition,94.0,74.0,20.0,20.0
13,Red Dead Revolver,73.0,89.0,16.0,-16.0
14,LUFTRAUSERS,80.0,83.0,3.0,-3.0
15,WRC Powerslide,60.0,80.0,20.0,-20.0
16,NieR:Automata Game of the YoRHa Edition,91.0,86.0,5.0,5.0
17,KILL la KILL - IF,66.0,82.0,16.0,-16.0
18,Intrusion 2,80.0,76.0,4.0,4.0
19,Fate of the World,70.0,77.0,7.0,-7.0
20,Project CARS 2,86.0,83.0,3.0,3.0
21,The Moment of Silence,70.0,69.0,1.0,1.0
22,Perimeter 2: New Earth,43.0,77.0,34.0,-34.0
23,Devil May Cry 4,78.0,76.0,2.0,2.0
24,Antihero,81.0,76.0,5.0,5.0
25,The Silver Case,67.0,81.0,14.0,-14.0
26,The Awesome Adventures of Captain Spirit,77.0,88.0,11.0,-11.0
27,Bloodborne,92.0,91.0,1.0,1.0
28,nail'd,69.0,83.0,14.0,-14.0
29,Penumbra: Requiem,67.0,75.0,8.0,-8.0
30,Dark Souls II: Scholar of the First Sin,79.0,84.0,5.0,-5.0
31,Fallen Enchantress: Legendary Heroes,80.0,65.0,15.0,15.0
32,Ticket to Ride,91.0,76.0,15.0,15.0
33,Reign: Conflict of Nations,60.0,73.0,13.0,-13.0
34,Beat Cop,71.0,79.0,8.0,-8.0
35,Dante's Inferno,75.0,86.0,11.0,-11.0
36,Alone With You,75.0,67.0,8.0,8.0
37,Tom Clancy's Ghost Recon: Advanced Warfighter,85.0,82.0,3.0,3.0
38,The Red Solstice,74.0,68.0,6.0,6.0
39,Spyro Reignited Trilogy,80.0,70.0,10.0,10.0
40,"Pokémon Diamond, Pearl",85.0,81.0,4.0,4.0
41,Outward,65.0,76.0,11.0,-11.0
42,Candle: The Power of the Flame,80.0,70.0,10.0,10.0
43,A Way Out,78.0,89.0,11.0,-11.0
44,Final Fantasy X-2,85.0,81.0,4.0,4.0
45,Final Fantasy VII Remake,87.0,87.0,0.0,0.0
46,Sayonara Wild Hearts,85.0,75.0,10.0,10.0
47,Ace Combat 5: The Unsung War,84.0,80.0,4.0,4.0
48,MacGuffin's Curse,73.0,65.0,8.0,8.0
49,Destiny 2: Warmind,64.0,77.0,13.0,-13.0
50,EA SPORTS FIFA 17,85.0,82.0,3.0,3.0
51,Ship Simulator Extremes,49.0,67.0,18.0,-18.0
52,Only If,39.0,75.0,36.0,-36.0
53,The Sims,88.0,80.0,8.0,8.0
54,Resonance,76.0,76.0,0.0,0.0
55,Dangerous High School Girls in Trouble!,81.0,81.0,0.0,0.0
56,Seven: The Days Long Gone,68.0,74.0,6.0,-6.0
57,"Pokémon Alpha Sapphire, Omega Ruby",83.0,81.0,2.0,2.0
58,Iron Warriors: T - 72 Tank Command,56.0,81.0,25.0,-25.0
59,Metal Gear Solid,88.0,69.0,19.0,19.0
60,HOARD,65.0,73.0,8.0,-8.0
61,Apotheon,78.0,76.0,2.0,2.0
62,S.T.A.L.K.E.R.: Call of Pripyat,80.0,91.0,11.0,-11.0
63,LEGO Batman 2 DC Super Heroes,75.0,80.0,5.0,-5.0
64,GNOG,76.0,70.0,6.0,6.0
65,BioShock Infinite: Burial at Sea - Episode One,71.0,80.0,9.0,-9.0
66,Burnout 3: Takedown,94.0,86.0,8.0,8.0
67,Killzone,70.0,81.0,11.0,-11.0
68,Skyshine's BEDLAM,67.0,72.0,5.0,-5.0
69,WORLD OF WARSHIPS: LEGENDS,82.0,90.0,8.0,-8.0
70,Call of Juarez: The Cartel,51.0,66.0,15.0,-15.0
71,Strong Bad's Cool Game for Attractive People,82.0,70.0,12.0,12.0
72,Divinity: Dragon Commander,76.0,80.0,4.0,-4.0
