name,metacritic,Predicted Metacritic Score,absolute_error,relative_error
Resident Evil Outbreak: File 2,58.0,79.85528100590768,21.855281005907685,-21.855281005907685
MASSIVE CHALICE,73.0,69.10264048936604,3.8973595106339616,3.8973595106339616
Fahrenheit (Indigo Prophecy),85.0,65.76894010623268,19.231059893767323,19.231059893767323
Dragon Age: Origins - Ultimate Edition,88.0,77.40529036214637,10.594709637853626,10.594709637853626
Stories: The Path of Destinies,74.0,76.83581279050568,2.8358127905056847,-2.8358127905056847
Q.U.B.E. 2,75.0,66.80533674075022,8.19466325924978,8.19466325924978
Eagle Flight,74.0,66.1102368052605,7.889763194739501,7.889763194739501
The Elder Scrolls V: Skyrim,94.0,80.85502148786708,13.144978512132923,13.144978512132923
Forza Motorsport 7,84.0,81.38411335742474,2.615886642575262,2.615886642575262
Sacred Citadel,61.0,69.81606443341603,8.816064433416031,-8.816064433416031
Subject 13,59.0,69.82420882496086,10.824208824960863,-10.824208824960863
Road Not Taken,75.0,76.26126989560746,1.2612698956074553,-1.2612698956074553
Divinity: Original Sin - Enhanced Edition,94.0,79.5070046269454,14.492995373054598,14.492995373054598
Red Dead Revolver,73.0,77.96688860104172,4.966888601041717,-4.966888601041717
LUFTRAUSERS,80.0,77.91363148340524,2.08636851659476,2.08636851659476
WRC Powerslide,60.0,75.38734434325532,15.387344343255322,-15.387344343255322
NieR:Automata Game of the YoRHa Edition,91.0,76.25080182299841,14.749198177001588,14.749198177001588
KILL la KILL - IF,66.0,81.5895229766177,15.589522976617701,-15.589522976617701
Intrusion 2,80.0,83.01476947166006,3.0147694716600597,-3.0147694716600597
Fate of the World,70.0,75.89569238948313,5.895692389483131,-5.895692389483131
Project CARS 2,86.0,81.77725271641205,4.22274728358795,4.22274728358795
The Moment of Silence,70.0,70.69272033140436,0.6927203314043595,-0.6927203314043595
Perimeter 2: New Earth,43.0,72.12899625526796,29.128996255267964,-29.128996255267964
Devil May Cry 4,78.0,74.50274726295622,3.4972527370437803,3.4972527370437803
Antihero,81.0,77.36584558266753,3.634154417332468,3.634154417332468
The Silver Case,67.0,81.84013477967193,14.840134779671928,-14.840134779671928
The Awesome Adventures of Captain Spirit,77.0,76.1474192685529,0.8525807314471052,0.8525807314471052
Bloodborne,92.0,86.38623910499088,5.613760895009122,5.613760895009122
nail'd,69.0,73.71441692273137,4.714416922731374,-4.714416922731374
Penumbra: Requiem,67.0,70.80707679606152,3.807076796061523,-3.807076796061523
Dark Souls II: Scholar of the First Sin,79.0,77.71556684739052,1.2844331526094805,1.2844331526094805
Fallen Enchantress: Legendary Heroes,80.0,76.70161579978226,3.2983842002177397,3.2983842002177397
Ticket to Ride,91.0,75.64413860276345,15.355861397236552,15.355861397236552
Reign: Conflict of Nations,60.0,67.16003925547206,7.160039255472057,-7.160039255472057
Beat Cop,71.0,75.01345724066161,4.013457240661609,-4.013457240661609
Dante's Inferno,75.0,78.98683952726572,3.9868395272657153,-3.9868395272657153
Alone With You,75.0,73.3007020801466,1.699297919853393,1.699297919853393
Tom Clancy's Ghost Recon: Advanced Warfighter,85.0,78.02593440787211,6.974065592127886,6.974065592127886
The Red Solstice,74.0,74.59618314956471,0.596183149564709,-0.596183149564709
Spyro Reignited Trilogy,80.0,73.57094250350686,6.429057496493144,6.429057496493144
"Pokémon Diamond, Pearl",85.0,84.31827999532715,0.6817200046728544,0.6817200046728544
Outward,65.0,73.14177486513934,8.14177486513934,-8.14177486513934
Candle: The Power of the Flame,80.0,71.93850024463732,8.061499755362675,8.061499755362675
A Way Out,78.0,76.65039219796996,1.349607802030036,1.349607802030036
Final Fantasy X-2,85.0,80.88971466692743,4.110285333072568,4.110285333072568
Final Fantasy VII Remake,87.0,88.99968964236513,1.9996896423651265,-1.9996896423651265
Sayonara Wild Hearts,85.0,84.43015771702356,0.5698422829764382,0.5698422829764382
Ace Combat 5: The Unsung War,84.0,77.09487595709729,6.905124042902713,6.905124042902713
MacGuffin's Curse,73.0,71.3778797039541,1.6221202960459067,1.6221202960459067
Destiny 2: Warmind,64.0,80.21479573800792,16.214795738007922,-16.214795738007922
EA SPORTS FIFA 17,85.0,79.24537276708404,5.754627232915965,5.754627232915965
Ship Simulator Extremes,49.0,73.92441386711928,24.924413867119284,-24.924413867119284
Only If,39.0,69.0466007272195,30.0466007272195,-30.0466007272195
The Sims,88.0,76.51725683653522,11.482743163464775,11.482743163464775
Resonance,76.0,71.98591958879774,4.014080411202258,4.014080411202258
Dangerous High School Girls in Trouble!,81.0,71.64171937867602,9.358280621323985,9.358280621323985
Seven: The Days Long Gone,68.0,68.20636840891777,0.20636840891776842,-0.20636840891776842
"Pokémon Alpha Sapphire, Omega Ruby",83.0,80.99803192467408,2.0019680753259195,2.0019680753259195
Iron Warriors: T - 72 Tank Command,56.0,78.84135435586944,22.84135435586944,-22.84135435586944
Metal Gear Solid,88.0,70.47259342921159,17.527406570788415,17.527406570788415
HOARD,65.0,67.70846164117883,2.708461641178829,-2.708461641178829
Apotheon,78.0,77.9411372109656,0.058862789034392904,0.058862789034392904
S.T.A.L.K.E.R.: Call of Pripyat,80.0,79.27091276372894,0.7290872362710559,0.7290872362710559
LEGO Batman 2 DC Super Heroes,75.0,76.85979514193805,1.8597951419380507,-1.8597951419380507
GNOG,76.0,78.19964383335119,2.199643833351189,-2.199643833351189
BioShock Infinite: Burial at Sea - Episode One,71.0,73.65336972116575,2.6533697211657454,-2.6533697211657454
Burnout 3: Takedown,94.0,82.81015109186404,11.189848908135957,11.189848908135957
Killzone,70.0,82.33455603346962,12.334556033469624,-12.334556033469624
Skyshine's BEDLAM,67.0,72.93294878645494,5.9329487864549435,-5.9329487864549435
WORLD OF WARSHIPS: LEGENDS,82.0,84.76327384873538,2.7632738487353805,-2.7632738487353805
Call of Juarez: The Cartel,51.0,63.85550585518983,12.855505855189833,-12.855505855189833
Strong Bad's Cool Game for Attractive People,82.0,76.59137547354878,5.40862452645122,5.40862452645122
Divinity: Dragon Commander,76.0,77.50725015861387,1.5072501586138713,-1.5072501586138713
The Lost Crown: A Ghosthunting Adventure,71.0,72.19674472220397,1.1967447222039738,-1.1967447222039738
Final Fantasy XV: Episode Prompto,65.0,74.31215463462242,9.312154634622416,-9.312154634622416
Starlink: Battle for Atlas,74.0,63.29949275511291,10.700507244887092,10.700507244887092
Rayman Raving Rabbids,58.0,70.42865578792583,12.428655787925834,-12.428655787925834
Fire Emblem: Path of Radiance,85.0,79.23656030772558,5.763439692274417,5.763439692274417
XCOM: Chimera Squad,77.0,73.29354284639457,3.7064571536054274,3.7064571536054274
The Witness,87.0,78.7631477729215,8.2368522270785,8.2368522270785
Perimeter: Emperor's Testament,72.0,72.12899625526796,0.128996255267964,-0.128996255267964
Damnation,41.0,65.80802704890338,24.808027048903384,-24.808027048903384
Cold War,64.0,69.36140434823598,5.361404348235979,-5.361404348235979
Half-Life 2: Update,96.0,76.06401061126233,19.935989388737667,19.935989388737667
Spacebase DF-9,49.0,73.12505364703593,24.125053647035926,-24.125053647035926
Velvet Assassin,61.0,70.36642561510345,9.366425615103452,-9.366425615103452
Battleborn,69.0,77.0099767303062,8.009976730306207,-8.009976730306207
Streets of Rage 4,83.0,73.72862808989183,9.271371910108172,9.271371910108172
Four Last Things,83.0,70.90315041347111,12.09684958652889,12.09684958652889
AquaNox 2: Revelation,59.0,68.15281601496294,9.152816014962937,-9.152816014962937
Croixleur Sigma,56.0,76.61189416555786,20.611894165557857,-20.611894165557857
Owlboy,88.0,80.54228806639452,7.457711933605481,7.457711933605481
The Movies,84.0,77.89966380629595,6.100336193704052,6.100336193704052
Cossacks: Art of War,74.0,73.09960171237672,0.9003982876232755,0.9003982876232755
LEGO Star Wars - The Complete Saga,77.0,79.75928678550936,2.75928678550936,-2.75928678550936
Trials Rising,81.0,78.17089612987564,2.8291038701243565,2.8291038701243565
Wargame: Airland Battle,80.0,78.75507553451715,1.2449244654828533,1.2449244654828533
FIFA 14,86.0,81.3145500151034,4.685449984896593,4.685449984896593
Phoning Home,61.0,73.27607883567865,12.276078835678646,-12.276078835678646
The Walking Dead: The Final Season,78.0,78.24806612328564,0.24806612328563915,-0.24806612328563915
King Arthur: Fallen Champions,54.0,71.08917981551336,17.08917981551336,-17.08917981551336
Cossacks: Back to War,60.0,78.71893044430423,18.718930444304235,-18.718930444304235
Final Fantasy IX,84.0,82.35224870189181,1.64775129810819,1.64775129810819
RONIN,70.0,79.71003766959463,9.710037669594627,-9.710037669594627
Broforce,83.0,78.19287021100945,4.807129788990551,4.807129788990551
Crazy Taxi 2,82.0,76.99842448339776,5.001575516602244,5.001575516602244
Fallout 3: Point Lookout,79.0,77.61060781372767,1.3893921862723317,1.3893921862723317
Toukiden 2,73.0,71.4051430173886,1.5948569826114039,1.5948569826114039
Eternal Sonata,80.0,79.85130195312814,0.14869804687185706,0.14869804687185706
Heroes of Might and Magic V,77.0,76.30268791157187,0.6973120884281343,0.6973120884281343
Legends of Runeterra,87.0,78.36567739445555,8.634322605544455,8.634322605544455
Warface: Ice Breaker,62.0,79.27456318326907,17.274563183269066,-17.274563183269066
Prototype 2,76.0,75.17470408150837,0.8252959184916335,0.8252959184916335
Crimsonland,68.0,75.64750096626067,7.647500966260665,-7.647500966260665
